Fecha,Tipo,Precio,RSI,ADX,Ganancia,Saldo
2026-05-05 20:01:15,SHORT,77642.0,76.02,25.64,-73.61,9926.39
2026-05-05 20:01:15,LONG,76563.0,18.74,36.48,-67.15,9859.24
2026-05-05 20:01:15,SHORT,76248.74,64.38,31.83,-67.16,9792.08
2026-05-05 20:01:15,SHORT,76638.04,68.42,37.15,-84.26,9707.83
2026-05-05 20:01:16,LONG,80809.05,78.84,15.0,390.25,10098.07
2026-05-05 20:18:42,SHORT,76834.06,49.16,47.88,-0.13,9999.87
2026-05-05 20:18:42,SHORT,76782.18,50.46,38.71,8.89,10008.76
2026-05-05 20:18:42,SHORT,76895.84,62.75,33.73,-1.62,10007.14
2026-05-05 20:18:42,SHORT,76913.92,58.43,22.03,4.23,10011.37
2026-05-05 20:18:42,SHORT,76888.08,36.34,43.69,17.87,10029.25
2026-05-05 20:18:42,SHORT,77063.45,49.18,41.37,-9.09,10020.16
2026-05-05 20:18:42,SHORT,76999.62,63.24,43.2,-12.27,10007.89
2026-05-05 20:18:42,SHORT,76858.01,49.42,25.51,4.34,10012.22
2026-05-05 20:18:42,SHORT,76844.97,50.48,16.88,3.13,10015.35
2026-05-05 20:18:42,SHORT,76066.38,44.34,40.1,11.64,10026.99
2026-05-05 20:18:42,SHORT,76125.04,47.38,30.69,-9.66,10017.34
2026-05-05 20:18:42,SHORT,76096.13,46.4,26.62,-5.77,10011.57
2026-05-05 20:18:42,SHORT,76187.3,67.19,22.38,0.47,10012.04
2026-05-05 20:18:42,SHORT,76242.18,59.67,26.29,-6.76,10005.28
2026-05-05 20:18:42,SHORT,76170.93,54.59,27.46,-7.76,9997.51
2026-05-05 20:18:42,SHORT,76357.15,56.51,42.63,0.75,9998.27
2026-05-05 20:18:42,SHORT,76346.89,52.09,36.63,-1.6,9996.67
2026-05-05 20:18:42,SHORT,76342.77,48.18,26.22,-5.25,9991.42
2026-05-05 20:18:42,SHORT,76400.46,53.04,16.75,-6.24,9985.18
